Currency Code,Currency Description,Total,EI,EI_XS,NEI_L,NEI_L_XS,NEI_S,DC
EA03Z,Pace 1: Single Chamber or Implantable Diagnostic Device,2636,2937,349,4259,262,1837,1954
EA05Z,Pace 2: Dual Chamber,3477,3006,411,4270,290,2274,2274
EA07Z,Pace 3: Biventricular and all Congenital Pacemaker Procedures; Resynchronisation Therapy,6480,5495,268,7501,317,6146,6130
EA09Z,Percutaneous Interventions: Percutaneous Transluminal ASD VSD or PFO Closure and Valve Insertion,5525,5568,614,7706,341,3503,4887
EA10Z,Percutaneous Interventions: Balloon Valve Intermediate Interventions and Arterial Duct Closure,5840,5528,288,6921,325,4447,3364
EA11Z,Percutaneous Interventions: Other including Septostomy Embolisations Non-Coronary Stents and Energy Moderated Perforation,4045,4690,461,3729,412,1416,2032
EA12Z,Implantation of Cardioverter; Defibrillator only,13256,13317,261,14596,338,9358,11583
EA14Z,Coronary Artery Bypass Graft (First Time),9463,9333,290,9683,347,6408,1691
EA16Z,Coronary Artery Bypass Graft (First Time) with Percutaneous Coronary Intervention Pacing EP or RFA,9791,9762,256,9857,303,3232,
EA17Z,Single Cardiac Valve Procedures,10706,10596,334,11401,326,6921,1295
EA19Z,Single Cardiac Valve Procedures with Percutaneous Coronary Intervention Pacing EP or RFA,11821,11558,296,12711,255,4534,834
EA20Z,Other Complex Cardiac Surgery and Re-do's,12380,12351,253,13006,263,6863,890
EA22Z,Other Complex Cardiac Surgery with Percutaneous Coronary Intervention Pacing EP or RFA,14449,14354,217,15567,218,7352,1164
EA23Z,Major Complex Congenital Surgery,12752,12281,433,14332,161,8992,1926
EA24Z,Complex Congenital Surgery,7460,9002,274,11636,455,6794,635
EA25Z,Intermediate Congenital Surgery,8341,7818,640,10555,180,5760,867
EA26Z,Standard Congenital Surgery,5453,6248,244,4799,313,5991,1364
EA29Z,Percutaneous Complex Ablation including for Atrial Fibrillation or Ventricular Tachycardia,4414,4469,310,5884,356,2530,2530
EA31Z,Percutaneous Coronary Intervention 0 to 2 Stents,2639,2190,351,3084,330,1796,2218
EA35Z,Other Percutaneous Interventions,1561,2033,464,3193,344,1289,1458
EA36A,Catheter 19 years and over,1636,2063,386,3020,313,1039,1059
EA36B,Catheter 18 years and under,4355,4192,925,5772,613,2228,3728
EA39Z,Pacemaker Procedure without Generator Implant including Re-siting and Removal of Cardiac Pacemaker System,4064,3706,273,5916,344,1932,1708
EA40Z,Other Non-Complex Cardiac Surgery,5677,6809,328,7854,414,1963,1120
EA43Z,Implantation of Prosthetic Heart or Ventricular Assist Device,36361,36452,146,40466,341,12733,
EA44Z,Minor Cardiac Procedures,286,4197,357,4847,281,1460,884
EA45Z,Complex Echocardiogram including Congenital Transoesophageal and Fetal Echocardiography,281,1352,,2141,,681,768
EA47Z,Electrocardiogram Monitoring and Stress Testing,112,1114,,1564,,414,454
EA48Z,Single or Dual Chamber Pacemaker or Implantable Diagnostic Device with Percutaneous Coronary Intervention EP or RFA,5365,5130,,6681,280,2168,2188
EA49Z,Percutaneous Coronary Interventions with 3 or more Stents Rotablation IVUS or Pressure Wire,3143,2705,314,3686,315,2067,2719
EA51Z,Coronary Artery Bypass Graft with Valve Replacement or Repair,12470,12206,234,13082,342,8140,1652
EA52Z,Repair or Replacement of more than one Heart Valve,14766,14176,247,16045,549,10232,
EA53Z,Transcatheter Aortic Valve Implantation (TAVI),15455,14980,393,16743,475,7376,683
EA54Z,Percutaneous Standard Ablation,3042,3133,462,4000,359,2365,2331
EA55Z,Percutaneous Diagnostic Electrophysiology Studies,2360,2430,483,3612,312,1669,1809
EA56Z,Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D),16451,15189,350,16772,385,12947,21912
EB01Z,Non-Interventional Acquired Cardiac Conditions,775,1729,309,1216,262,433,725
EB02Z,Endocarditis,4236,5433,344,5251,247,640,592
EB03H,Heart Failure or Shock with CC,2232,4116,275,2716,229,483,549
EB03I,Heart Failure or Shock without CC,1387,2699,341,1884,239,440,603
EB04H,Hypertension with CC,1935,2638,170,2510,225,538,590
EB04I,Hypertension without CC,1077,1527,250,1960,216,552,446
EB05Z,Cardiac Arrest,1379,2127,348,2073,209,521,278
EB06Z,Cardiac Valve Disorders,2383,3336,270,2777,243,552,897
EB07H,Arrhythmia or Conduction Disorders with CC,1357,1699,230,1834,230,470,842
EB07I,Arrhythmia or Conduction Disorders without CC,818,1361,387,1347,253,450,834
EB08H,Syncope or Collapse with CC,1051,1561,317,1481,223,438,484
EB08I,Syncope or Collapse without CC,657,989,307,994,232,401,549
EB09Z,Non-Interventional Congenital Cardiac Conditions,1734,3408,275,3081,416,644,858
EB10Z,Actual or Suspected Myocardial Infarction,1582,2251,312,1967,242,561,688
FZ12D,Major General Abdominal Procedures 19 years and over with Major CC,5565,5522,276,5905,245,2099,1119
FZ12E,Major General Abdominal Procedures 19 years and over with Intermediate CC,3379,3470,299,4114,268,1424,1026
FZ12F,Major General Abdominal Procedures 19 years and over without CC,2794,3192,283,3893,270,1246,1115
FZ12H,Major General Abdominal Procedures between 2 and 18 years with CC,7884,9582,765,7067,324,1581,2120
FZ12I,Major General Abdominal Procedures between 2 and 18 years without CC,3649,5654,,4333,328,1361,1325
FZ12J,Major General Abdominal Procedures 1 year and under with Major CC,11644,10216,412,28898,269,1689,
FZ12K,Major General Abdominal Procedures 1 year and under without Major CC,4641,4565,,7876,1811,2093,1871
FZ13C,Minor Therapeutic or Diagnostic General Abdominal Procedures 19 years and over,920,1201,,1344,,739,918
FZ13D,Minor Therapeutic or Diagnostic General Abdominal Procedures 18 years and under,840,1896,,1056,,1037,660
FZ17A,Abdominal Hernia Procedures 19 years and over with Major CC,4571,4295,345,5165,237,2060,1529
FZ17B,Abdominal Hernia Procedures 19 years and over with Intermediate CC,2917,3107,329,3511,254,1742,1317
FZ17C,Abdominal Hernia Procedures 19 years and over without CC,2171,2700,290,3031,245,1558,1290
FZ17D,Abdominal Hernia Procedures 18 years and under,1371,2989,466,2743,169,1367,1107
FZ18A,Inguinal Umbilical or Femoral Hernia Procedures 19 years and over with Major CC,2512,2332,290,3699,251,1724,1412
FZ18B,Inguinal Umbilical or Femoral Hernia Procedures 19 years and over with Intermediate CC,1954,2050,287,2658,276,1722,1365
FZ18C,Inguinal Umbilical or Femoral Hernia Procedures 19 years and over without CC,1560,1905,386,1933,326,1705,1380
FZ18E,Inguinal Umbilical or Femoral Hernia Procedures between 2 and 18 years,1353,1969,735,2726,294,1628,1267
FZ18F,Inguinal Umbilical or Femoral Hernia Procedures 1 year and under,2206,2408,638,3805,186,1942,1473
FZ19A,Herniotomy Procedures 2 years and over,1264,1858,393,2335,782,1654,1202
FZ19B,Herniotomy Procedures 1 year and under,1857,2050,360,2922,410,1647,1274
FZ20A,Appendicectomy Procedures 19 years and over with Major CC,3815,3305,312,3980,257,1851,1701
FZ20B,Appendicectomy Procedures 19 years and over without Major CC,2672,2504,545,2848,273,1861,1399
FZ20D,Appendicectomy Procedures 18 years and under with Major CC,3952,3881,500,4167,330,2092,1115
FZ20E,Appendicectomy Procedures 18 years and under without Major CC,2685,3012,448,2842,389,1754,1230
FZ21A,Major Anal Procedures 19 years and over,1537,1948,320,2307,262,1211,1024
FZ21B,Major Anal Procedures 18 years and under,2628,3603,394,3492,420,1286,1339
FZ22A,Intermediate Anal Procedures 19 years and over,1182,1505,257,1711,285,1015,972
FZ22B,Intermediate Anal Procedures 18 years and under,1286,1764,476,1854,388,1042,1044
FZ23A,Minor Anal Procedures 19 years and over,509,1221,,1173,,797,668
FZ23B,Minor Anal Procedures 18 years and under,955,1431,,,,1012,984
FZ24A,Major Therapeutic Endoscopic Upper or Lower GI Tract Procedures 19 years and over with Major CC,1845,2166,195,3838,242,600,613
FZ24B,Major Therapeutic Endoscopic Upper or Lower GI Tract Procedures 19 years and over with Intermediate CC,986,1411,313,2082,260,745,672
FZ24C,Major Therapeutic Endoscopic Upper or Lower GI Tract Procedures 19 years and over without CC,824,1434,421,2070,325,950,636
FZ24E,Major Therapeutic Endoscopic Upper or Lower GI Tract Procedures between 2 and 18 years,1511,2422,327,2488,345,1172,1140
FZ24F,Major Therapeutic Endoscopic Upper or Lower GI Tract Procedures 1 year and under,1848,1932,294,2633,457,1456,1211
FZ27A,Intermediate Therapeutic General Abdominal Procedures 19 years and over with Major CC,1061,3275,323,4615,225,1106,1043
FZ27B,Intermediate Therapeutic General Abdominal Procedures 19 years and over with Intermediate CC,2515,2495,226,3604,310,978,1117
FZ27C,Intermediate Therapeutic General Abdominal Procedures 19 years and over without CC,1891,2237,237,2941,295,1177,1136
FZ27D,Intermediate Therapeutic General Abdominal Procedures 18 years and under,1969,3213,607,3463,245,1351,1138
FZ31D,Disorders of the Oesophagus with length of stay 2 days or more with Major CC,2939,3453,246,2700,217,774,
FZ31E,Disorders of the Oesophagus with length of stay 2 days or more without Major CC,1945,2240,413,1751,232,358,
FZ31F,Disorders of the Oesophagus with length of stay 1 day or less,430,666,,716,,409,363
FZ33C,Small Intestinal Disorders excluding Inflammatory Bowel Disease with length of stay 2 days or more with CC,3502,3390,310,3176,266,340,
FZ33D,Small Intestinal Disorders excluding Inflammatory Bowel Disease with length of stay 2 days or more without CC,2177,2171,324,2002,230,828,329
FZ33E,Small Intestinal Disorders excluding Inflammatory Bowel Disease with length of stay 1 day or less,511,826,,1045,,543,319
FZ36D,Intestinal Infectious Disorders with length of stay 2 days or more with Major CC,3426,3388,377,3122,227,374,
FZ36E,Intestinal Infectious Disorders with length of stay 2 days or more without Major CC,1846,2907,229,1668,233,315,
FZ36F,Intestinal Infectious Disorders with length of stay 1 day or less,443,522,,814,,428,391
FZ37F,Inflammatory Bowel Disease with length of stay 1 day or less,424,533,,655,,440,365
FZ37G,Inflammatory Bowel Disease with length of stay 2 days or more with Interventions with Major CC,4263,4093,410,4009,298,927,
FZ37H,Inflammatory Bowel Disease with length of stay 2 days or more without Interventions with Major CC,2162,2571,321,1962,221,330,
FZ37I,Inflammatory Bowel Disease with length of stay 2 days or more with Interventions without Major CC,2602,2574,258,2492,228,766,9222
FZ37J,Inflammatory Bowel Disease with length of stay 2 days or more without Interventions without Major CC,1558,1982,234,1486,228,333,1776
FZ38D,Gastrointestinal Bleed with length of stay 2 days or more with Major CC,2282,2456,251,2042,229,870,
FZ38E,Gastrointestinal Bleed with length of stay 2 days or more without Major CC,1512,1747,282,1431,236,459,2160
FZ38F,Gastrointestinal Bleed with length of stay 1 day or less,458,559,,561,,451,312
FZ39D,Hernia Disorders with length of stay 2 days or more with Major CC,2955,2928,296,2641,257,1321,
FZ39E,Hernia Disorders with length of stay 2 days or more without Major CC,1786,2131,297,1631,237,370,
FZ39F,Hernia Disorders with length of stay 1 day or less,512,801,,876,,467,567
FZ40A,Appendix Disorders with length of stay 2 days or more,2058,2512,181,1946,240,351,
FZ40B,Appendix Disorders with length of stay 1 day or less,684,748,,828,,677,386
FZ41D,Anal Disorders with length of stay 2 days or more with Major CC,2780,3011,349,2412,239,383,
FZ41E,Anal Disorders with length of stay 2 days or more without Major CC,1763,2077,364,1574,253,346,
FZ41F,Anal Disorders with length of stay 1 day or less,439,624,,765,,427,368
FZ42A,Wireless Capsule Endoscopy 19 years and over,773,891,,277,,606,773
FZ42B,Wireless Capsule Endoscopy 18 years and under,1132,2096,,,,415,851
FZ43A,Non-Malignant Stomach or Duodenum Disorders with length of stay 2 days or more with Major CC,2335,3027,243,2113,227,408,
FZ43B,Non-Malignant Stomach or Duodenum Disorders with length of stay 2 days or more without Major CC,1640,1996,222,1510,234,429,
FZ43C,Non-Malignant Stomach or Duodenum Disorders with length of stay 1 day or less,425,643,,606,,415,399
FZ44A,Malignant Stomach or Duodenum Disorders with length of stay 2 days or more with Major CC,3102,3514,298,2921,242,296,
FZ44B,Malignant Stomach or Duodenum Disorders with length of stay 2 days or more without Major CC,2165,2136,277,2060,220,405,
FZ44C,Malignant Stomach or Duodenum Disorders with length of stay 1 day or less,527,734,,1166,,506,347
FZ45A,Non-Malignant Large Intestinal Disorders with length of stay 2 days or more with Major CC,2720,3070,279,2446,238,464,540
FZ45B,Non-Malignant Large Intestinal Disorders with length of stay 2 days or more without Major CC,1847,2351,260,1677,235,351,599
FZ45C,Non-Malignant Large Intestinal Disorders with length of stay 1 day or less,475,599,,805,,458,370
FZ46A,Malignant Large Intestinal Disorders with length of stay 2 days or more with Major CC,3620,3473,263,3444,230,728,
FZ46B,Malignant Large Intestinal Disorders with length of stay 2 days or more without Major CC,2244,1911,259,2311,239,356,566
FZ46C,Malignant Large Intestinal Disorders with length of stay 1 day or less,472,860,,1493,,527,348
FZ47A,Non-Malignant General Abdominal Disorders with length of stay 2 days or more with Major CC,2783,3262,234,2491,244,509,1784
FZ47B,Non-Malignant General Abdominal Disorders with length of stay 2 days or more without Major CC,1613,1983,303,1517,268,368,
FZ47C,Non-Malignant General Abdominal Disorders with length of stay 1 day or less,479,641,,787,,468,397
FZ48A,Malignant General Abdominal Disorders with length of stay 2 days or more with Major CC,3155,2713,321,3126,257,491,
FZ48B,Malignant General Abdominal Disorders with length of stay 2 days or more without Major CC,2099,1905,257,2005,277,556,
FZ48C,Malignant General Abdominal Disorders with length of stay 1 day or less,500,696,,915,,525,325
FZ49A,Nutritional Disorders with length of stay 2 days or more with Major CC,3275,3567,250,2982,200,294,
FZ49B,Nutritional Disorders with length of stay 2 days or more without Major CC,2566,2416,226,2247,244,296,
FZ49C,Nutritional Disorders with length of stay 1 day or less,463,725,,1059,,447,344
FZ50Z,Intermediate Large Intestine Procedures 19 years and over,451,1486,,1994,,724,699
FZ51Z,Diagnostic Colonoscopy 19 years and over,528,808,,599,,503,527
FZ52Z,Diagnostic Colonoscopy with Biopsy 19 years and over,572,840,795,946,,529,570
FZ53Z,Therapeutic Colonoscopy 19 years and over,567,886,,800,,566,564
FZ54Z,Diagnostic Flexible Sigmoidoscopy 19 years and over,412,785,,929,,449,446
FZ55Z,Diagnostic Flexible Sigmoidoscopy with Biopsy 19 years and over,467,861,,725,,447,481
FZ56Z,Therapeutic Flexible Sigmoidoscopy 19 years and over,512,947,,702,,603,502
FZ57Z,Diagnostic or Therapeutic Rigid Sigmoidoscopy 19 years and over,196,1276,,1436,,605,635
FZ58A,Endoscopic or Intermediate Lower GI Tract Procedures between 2 and 18 years,804,1739,,644,,786,781
FZ58B,Endoscopic or Intermediate Lower GI Tract Procedures 1 year and under,1119,1936,,1322,,1467,831
FZ59Z,Intermediate Upper GI Tract Procedures 19 years and over,309,831,,594,,542,337
FZ60Z,Diagnostic Endoscopic Upper GI Tract Procedures 19 years and over,436,726,,643,,475,431
FZ61Z,Diagnostic Endoscopic Upper GI Tract Procedures with Biopsy 19 years and over,454,882,,696,,458,453
FZ62A,Endoscopic or Intermediate Upper GI Tract Procedures between 2 and 18 years,1010,1734,,2678,,820,902
FZ62B,Endoscopic or Intermediate Upper GI Tract Procedures 1 year and under,960,1638,,2708,,710,896
FZ63Z,Combined Upper and Lower GI Tract Diagnostic Endoscopic Procedures,606,940,,1143,,565,610
FZ64A,Combined Upper and Lower GI Tract Diagnostic Endoscopic Procedures with Biopsy 19 years and over,609,906,,885,,572,602
FZ64B,Combined Upper and Lower GI Tract Diagnostic Endoscopic Procedures with Biopsy 18 years and under,1740,2144,,557,,1511,1570
FZ65Z,Combined Upper and Lower GI Tract Therapeutic Endoscopic Procedures,644,976,,1621,,728,632
FZ66A,Very Major Small Intestine Procedures 19 years and over with CC,7191,6908,279,7264,246,2738,1144
FZ66B,Very Major Small Intestine Procedures 19 years and over without CC,4709,4603,197,4890,288,2735,1591
FZ67A,Major Small Intestine Procedures 19 years and over with CC,5273,4532,275,6231,226,1460,761
FZ67B,Major Small Intestine Procedures 19 years and over without CC,3139,3712,293,4345,274,1395,723
FZ68C,Very Major or Major Small Intestine Procedures between 2 and 18 years with CC,8141,7741,469,8278,327,2462,1090
FZ68D,Very Major or Major Small Intestine Procedures between 2 and 18 years without CC,4150,4162,580,4870,274,1675,933
FZ68E,Very Major or Major Small Intestine Procedures 1 year and under with CC,12136,13397,460,16683,257,2362,1800
FZ68F,Very Major or Major Small Intestine Procedures 1 year and under without CC,6921,6753,258,8120,347,2275,925
FZ69A,Complex Small Intestine Procedures 19 years and over,11581,10335,234,11747,226,3348,1404
FZ69B,Complex Small Intestine Procedures 18 years and under,14617,14619,21,18916,160,5046,
FZ70Z,Therapeutic Endoscopic Upper GI Tract Procedures 19 years and over,559,923,,861,,614,507
FZ71A,Endoscopic Insertion of Luminal Stent into GI Tract with length of stay 2 days or more with Major CC,5098,4508,239,4934,218,3856,
FZ71B,Endoscopic Insertion of Luminal Stent into GI Tract with length of stay 2 days or more without Major CC,3199,2631,279,3278,256,866,
FZ71C,Endoscopic Insertion of Luminal Stent into GI Tract with length of stay 1 day or less,902,1053,,1667,,837,793
FZ72Z,Insertion of Spinal Cord Stimulator for Treatment of Faecal Incontinence,3725,12264,323,,,,2228
FZ73A,Very Complex Large Intestine Procedures with Major CC,11733,11648,251,11704,260,4741,
FZ73B,Very Complex Large Intestine Procedures without Major CC,7739,7619,411,7909,218,3432,
FZ74A,Complex Large Intestine Procedures 19 years and over with Major CC,8073,8281,307,7825,297,3174,1610
FZ74B,Complex Large Intestine Procedures 19 years and over without Major CC,5910,6128,249,5807,271,3038,1482
FZ75A,Proximal Colon Procedures 19 years and over with Major CC,6354,6197,259,6409,251,3167,
FZ75B,Proximal Colon Procedures 19 years and over without Major CC,5124,5017,326,5278,253,3202,2057
FZ76A,Distal Colon Procedures 19 years and over with Major CC,6819,6363,263,7334,328,2785,2202
FZ76B,Distal Colon Procedures 19 years and over without Major CC,4829,4966,290,5431,280,2048,1704
FZ77A,Major Large Intestine Procedures 19 years and over with Major CC,4872,4479,357,5360,267,2981,1083
FZ77B,Major Large Intestine Procedures 19 years and over without Major CC,3078,3264,314,4137,239,2307,1061
FZ78A,Complex or Major Large Intestine Procedures between 2 and 18 years with CC,8323,7711,369,8526,432,3733,740
FZ78B,Complex or Major Large Intestine Procedures between 2 and 18 years without CC,5465,5718,263,5759,418,2657,997
FZ78C,Complex or Major Large Intestine Procedures 1 year and under with CC,9706,7810,232,13229,252,2361,835
FZ78D,Complex or Major Large Intestine Procedures 1 year and under without CC,6200,5226,555,7886,357,2272,1083
FZ79A,Complex General Abdominal Procedures with Major CC,10815,12332,229,10230,251,2660,
FZ79B,Complex General Abdominal Procedures without Major CC,5584,5226,342,5900,242,1905,1433
FZ80A,Very Complex Oesophageal Stomach or Duodenum Procedures 19 years and over with Major CC,12920,13268,207,11971,263,3987,
FZ80B,Very Complex Oesophageal Stomach or Duodenum Procedures 19 years and over without Major CC,8678,8708,345,7760,263,3740,
FZ81A,Complex Oesophageal Stomach or Duodenum Procedures 19 years and over with Major CC,8861,9519,245,8177,245,2837,3303
FZ81B,Complex Oesophageal Stomach or Duodenum Procedures 19 years and over without Major CC,5529,5644,288,5719,230,3935,1326
FZ82A,Very Complex or Complex Oesophageal Stomach or Duodenum Procedures 18 years and under with CC,15875,13015,1022,21037,210,4001,
FZ82B,Very Complex or Complex Oesophageal Stomach or Duodenum Procedures 18 years and under without CC,6537,4926,,9282,391,4096,297
FZ83A,Major Oesophageal Stomach or Duodenum Procedures 19 years and over with Major CC,4937,4831,233,5023,263,2359,1553
FZ83B,Major Oesophageal Stomach or Duodenum Procedures 19 years and over without Major CC,2064,3257,267,3254,280,1081,1236
FZ83C,Major Oesophageal Stomach or Duodenum Procedures between 2 and 18 years with CC,6051,6068,487,6292,140,2076,659
FZ83D,Major Oesophageal Stomach or Duodenum Procedures between 2 and 18 years without CC,4461,4647,637,6171,325,1985,1781
FZ83E,Major Oesophageal Stomach or Duodenum Procedures 1 year and under with CC,8693,7124,420,8824,302,3760,2725
FZ83F,Major Oesophageal Stomach or Duodenum Procedures 1 year and under without CC,4284,4279,795,4089,298,2231,686
FZ84Z,Stomach Bypass Procedures for Obesity,5410,5346,353,2704,120,912,3355
FZ85Z,Restrictive Stomach Procedures for Obesity,2473,4005,330,6653,254,1178,392
FZ86Z,Endoscopic Insertion of Gastric Balloon for Obesity,1542,1748,,3699,,1499,710
FZ87A,Complex Hernia Procedures with Major CC,4307,4175,288,4907,266,2062,1741
FZ87B,Complex Hernia Procedures with Intermediate CC,3269,3378,268,3828,251,1747,1405
FZ87C,Complex Hernia Procedures without CC,2227,2602,316,4034,276,1749,1464
FZ88A,Insertion of Gastrostomy Tube 19 years and over,810,761,,2700,297,779,544
FZ88B,Insertion of Gastrostomy Tube 18 years and under,1591,1886,,6491,,929,901
GA01A,Hepatobiliary Transplant 1 year and under,37494,40098,,39795,146,3010,418
GA01B,Hepatobiliary Transplant between 2 and 17 years,38537,31928,408,42389,365,,
GA01C,Hepatobiliary Transplant 18 years and over,18019,17835,199,18343,288,8366,7192
GA03A,Very Complex Open Hepatobiliary or Pancreatic Procedures with CC,11338,11656,269,9627,284,4031,2129
GA03B,Very Complex Open Hepatobiliary or Pancreatic Procedures without CC,7881,8400,315,6278,142,1229,1038
GA04A,Complex Open Hepatobiliary or Pancreatic Procedures with CC,9799,9209,270,12006,206,5793,1010
GA04B,Complex Open Hepatobiliary or Pancreatic Procedures without CC,7697,7711,386,7083,358,11551,
GA05A,Very Major Open Hepatobiliary or Pancreatic Procedures with CC,7773,7503,321,7608,282,5690,1152
GA05B,Very Major Open Hepatobiliary or Pancreatic Procedures without CC,6310,6522,437,6200,264,5572,988
GA06A,Major Open Hepatobiliary or Pancreatic Procedures with CC,5599,5378,353,6916,203,1140,889
GA06B,Major Open Hepatobiliary or Pancreatic Procedures without CC,3305,4487,414,4311,393,902,858
GA07A,Intermediate Open Hepatobiliary or Pancreatic Procedures with CC,4624,4668,410,5158,284,1611,1516
GA07B,Intermediate Open Hepatobiliary or Pancreatic Procedures without CC,3303,3581,295,4206,222,1736,1601
GA10C,Open Cholecystectomy 19 years and over without CC,3171,3322,356,3920,309,1601,1746
GA10D,Laparoscopic Cholecystectomy 19 years and over with length of stay 1 day or more without CC,2506,2343,290,3067,311,1880,2452
GA10E,Laparoscopic Cholecystectomy 19 years and over with length of stay 0 days without CC,1695,1931,,1433,,1057,1670
GA10F,Open or Laparoscopic Cholecystectomy 19 years and over with CC,2972,2877,281,4092,268,2036,1759
GA10G,Open or Laparoscopic Cholecystectomy 18 years and under,2624,2935,467,3098,399,1642,1635
GA11Z,Pancreatic Necrosectomy,16177,7983,,17425,248,14439,
GA12Z,Multi-Organ and Multiple Transplants,28739,44462,161,25701,294,6751,5586
GA13A,Minor Open or Laparoscopic Hepatobiliary or Pancreatic Procedures with CC,2732,2875,344,3511,290,1264,1239
GA13B,Minor Open or Laparoscopic Hepatobiliary or Pancreatic Procedures without CC,2095,2436,435,2896,234,989,1150
GB01A,Very Major Endoscopic or Percutaneous Hepatobiliary or Pancreatic Procedures with Major CC,7040,5429,112,7802,206,1327,1046
GB01B,Very Major Endoscopic or Percutaneous Hepatobiliary or Pancreatic Procedures without Major CC,3701,2877,182,4818,229,774,693
GB02A,Major Endoscopic or Percutaneous Hepatobiliary or Pancreatic Procedures with Major CC,5467,4036,269,6547,338,1765,564
GB02B,Major Endoscopic or Percutaneous Hepatobiliary or Pancreatic Procedures with Intermediate CC,2919,2846,312,4179,260,1299,599
GB02C,Major Endoscopic or Percutaneous Hepatobiliary or Pancreatic Procedures without CC,2259,2897,284,3632,247,592,687
GB03A,Intermediate Endoscopic or Percutaneous Hepatobiliary or Pancreatic Procedures with CC,1809,2416,506,2979,246,745,575
GB03B,Intermediate Endoscopic or Percutaneous Hepatobiliary or Pancreatic Procedures without CC,731,1273,298,1946,184,500,468
GB04D,Minor Endoscopic or Percutaneous Hepatobiliary or Pancreatic Procedures 19 years and over,584,706,,3200,,593,547
GB04E,Minor Endoscopic or Percutaneous Hepatobiliary or Pancreatic Procedures 18 years and under,2107,3176,,,,1020,1718
GB05C,Major Therapeutic Endoscopic Retrograde Cholangiopancreatography with length of stay 3 days or more with Major CC,6951,6718,,7008,238,1241,1470
GB05D,Major Therapeutic Endoscopic Retrograde Cholangiopancreatography with length of stay 3 days or more without Major CC,4378,4562,208,4213,248,542,
GB05E,Major Therapeutic Endoscopic Retrograde Cholangiopancreatography with length of stay 2 days or less,998,1314,,1479,,788,823
GB06A,Intermediate Therapeutic Endoscopic Retrograde Cholangiopancreatography with length of stay 3 days or more with Major CC,5097,4789,156,4890,251,,
GB06B,Intermediate Therapeutic Endoscopic Retrograde Cholangiopancreatography with length of stay 3 days or more with Intermediate CC,3539,3261,284,3443,234,326,
GB06C,Intermediate Therapeutic Endoscopic Retrograde Cholangiopancreatography with length of stay 3 days or more without C,3110,2882,266,3083,232,3690,
GB06D,Intermediate Therapeutic Endoscopic Retrograde Cholangiopancreatography with length of stay 2 days or less,839,1098,,1234,,620,756
GB07Z,Minor Diagnostic Endoscopic Retrograde Cholangiopancreatography,735,975,,1024,,556,696
GB08A,Complex Endoscopic or Percutaneous Hepatobiliary or Pancreatic Procedures with Major CC,11324,11268,277,11645,141,2114,
GB08B,Complex Endoscopic or Percutaneous Hepatobiliary or Pancreatic Procedures without Major CC,7773,6872,293,8338,242,,881
GB09A,Complex Therapeutic Endoscopic Retrograde Cholangiopancreatography with length of stay 3 days or more with Major CC,6952,7386,,6367,375,,
GB09B,Complex Therapeutic Endoscopic Retrograde Cholangiopancreatography with length of stay 3 days or more without Major CC,4219,4621,491,3898,369,,
GB09C,Complex Therapeutic Endoscopic Retrograde Cholangiopancreatography with length of stay 2 days or less,979,1222,,2362,,725,748
GC01A,Liver Failure Disorders with Interventions,3640,3726,157,3484,198,1138,380
GC01B,Liver Failure Disorders without Interventions,1599,2009,196,2028,234,523,546
GC12A,Malignant Liver or Pancreatic Disorders with length of stay 2 days or more,2755,2697,258,2604,230,808,
GC12B,Malignant Liver or Pancreatic Disorders with length of stay 1 day or less,585,916,,2055,,532,391
GC15A,Non-Malignant Liver Disorders with Catastrophic CCs,3789,4489,290,3988,256,697,225
GC15B,Non-Malignant Liver Disorders with Severe CCs,2732,2774,294,3084,213,542,275
GC15C,Non-Malignant Liver Disorders with Major CCs,2084,2276,218,2421,220,584,431
GC15D,Non-Malignant Liver Disorders without Major CCs,1313,1468,248,1795,227,503,458
GC16A,Non-Malignant Pancreatic or Biliary Disorders with Catastrophic CCs,3756,4241,282,4055,241,642,181
GC16B,Non-Malignant Pancreatic or Biliary Disorders with Severe CCs,2537,2256,248,2829,227,560,559
GC16C,Non-Malignant Pancreatic or Biliary Disorders with Major CCs,1662,1555,291,1992,231,491,458
GC16D,Non-Malignant Pancreatic or Biliary Disorders without Major CCs,1215,1186,276,1591,247,483,543
HA11A,Major Hip Procedures for Trauma Category 2 with Major CC,13600,10951,239,13660,205,6855,
HA11B,Major Hip Procedures for Trauma Category 2 with Intermediate CC,8297,9194,,8115,247,3593,
HA11C,Major Hip Procedures for Trauma Category 2 without CC,7477,6427,170,7486,245,3436,
HA12B,Major Hip Procedures for Trauma Category 1 with CC,8087,7943,237,8075,250,2819,2750
HA12C,Major Hip Procedures for Trauma Category 1 without CC,6317,6027,337,6372,231,2503,1231
HA13A,Intermediate Hip Procedures for Trauma with Major CC,8233,8888,145,8203,262,2495,
HA13B,Intermediate Hip Procedures for Trauma with Intermediate CC,6101,6183,450,6167,254,2262,1947
HA13C,Intermediate Hip Procedures for Trauma without CC,5603,4875,63,5668,246,2185,1602
HA14A,Minor Hip Procedures for Trauma with Major CC,7973,7565,364,8441,235,1447,1154
HA14B,Minor Hip Procedures for Trauma with Intermediate CC,4012,3927,387,4631,201,1431,703
HA14C,Minor Hip Procedures for Trauma without CC,3696,3836,287,3839,305,1885,1210
HA19Z,Minimal Hip Procedures for Trauma with length of stay 1 day or less,2993,964,,9099,424,870,732
